"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
E6,PB8,,EMAC0_E0_TXER,n/a,n/a,Yes,Disabled,No,No,Disabled,No,Low
F1,PA28,,Available,In,,,,,,,,
F2,PB14,,Available,In,,,,,,,,
F4,PB0,,EMAC0_E0_RX0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
F7,PA26,,Available,In,,,,,,,,
F8,PA24,,Available,In,,,,,,,,
G1,PA22,,Available,In,,,,,,,,
G2,PA30,,Available,In,,,,,,,,
G6,PA21,,Available,In,,,,,,,,
G8,PA9,,DBGU_DRXD,n/a,n/a,No,Disabled,No,Yes,Disabled,No,Low
H1,PA25,,Available,In,,,,,,,,
H2,PA27,,Available,In,,,,,,,,
H3,PA29,,Available,In,,,,,,,,
H4,PA31,,Available,In,,,,,,,,
H6,PA15,,SDMMC0_DAT0,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
H7,PA11,,Available,In,,,,,,,,
J1,PA18,,SDMMC0_DAT1,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
J2,PA20,,SDMMC0_DAT3,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
J3,PA17,,SDMMC0_CK,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
J4,PA23,,Available,In,,,,,,,,
J5,PA19,,SDMMC0_DAT2,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
J6,PA13,,Available,In,,,,,,,,
J7,PC15,,Available,In,,,,,,,,
J10,PD9,,Available,In,,,,,,,,
J12,PD7,,Available,In,,,,,,,,
J15,PD13,,Available,In,,,,,,,,
K1,PA14,,Available,In,,,,,,,,
K2,PA16,,SDMMC0_CMD,n/a,n/a,No,Disabled,No,No,Disabled,Yes,Low
K6,PA7,,Available,In,,,,,,,,
K8,PC17,,Available,In,,,,,,,,
K9,PC23,,Available,In,,,,,,,,
K11,PD11,,Available,In,,,,,,,,
K15,PD8,,Available,In,,,,,,,,
K16,PD6,,Available,In,,,,,,,,
L1,PA12,,Available,In,,,,,,,,
L2,PA10,,DBGU_DTXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L3,PA3,,Available,In,,,,,,,,
L4,PA5,,Available,In,,,,,,,,
L5,PC4,,Available,In,,,,,,,,
L7,PC13,,Available,In,,,,,,,,
L8,PC19,,Available,In,,,,,,,,
L9,PC25,,Available,In,,,,,,,,
L10,PC29,,Available,In,,,,,,,,
L12,PD14,,Available,In,,,,,,,,
L13,PD18,SWITCH_AL_PD18,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
L15,PD12,,Available,In,,,,,,,,
L16,PD10,,Available,In,,,,,,,,
M1,PA8,,Available,In,,,,,,,,
M2,PA6,,Available,In,,,,,,,,
M3,PA1,,Available,In,,,,,,,,
M4,PC0,,Available,In,,,,,,,,
M6,PC6,,Available,In,,,,,,,,
M8,PC21,,Available,In,,,,,,,,
M9,PC27,,Available,In,,,,,,,,
M11,PD20,,Available,In,,,,,,,,
M13,PC31,,Available,In,,,,,,,,
M14,PD16,,Available,In,,,,,,,,
M15,PD21,,Available,In,,,,,,,,
M16,PD15,,Available,In,,,,,,,,
N1,PA4,,Available,In,,,,,,,,
N5,PC2,,Available,In,,,,,,,,
N6,PC11,,Available,In,,,,,,,,
N8,PC8,,Available,In,,,,,,,,
N9,PC28,,Available,In,,,,,,,,
N11,PD5,,Available,In,,,,,,,,
N14,PD3,,Available,In,,,,,,,,
N16,PD17,,Available,In,,,,,,,,
P1,PA2,,Available,In,,,,,,,,
P2,PA0,,Available,In,,,,,,,,
P4,PC1,,Available,In,,,,,,,,
P5,PC3,,Available,In,,,,,,,,
P6,PC10,,Available,In,,,,,,,,
P8,PC20,,Available,In,,,,,,,,
P15,PD2,,Available,In,,,,,,,,
P16,PD19,,Available,In,,,,,,,,
R4,PC5,,Available,In,,,,,,,,
R5,PC12,,Available,In,,,,,,,,
R6,PC16,,Available,In,,,,,,,,
R7,PC22,,Available,In,,,,,,,,
R8,PC24,,Available,In,,,,,,,,
R14,PD0,,Available,In,,,,,,,,
R16,PD4,,Available,In,,,,,,,,
T3,PC7,,Available,In,,,,,,,,
T4,PC9,,Available,In,,,,,,,,
T5,PC14,,Available,In,,,,,,,,
T6,PC18,,Available,In,,,,,,,,
T7,PC30,,Available,In,,,,,,,,
T8,PC26,,Available,In,,,,,,,,
T15,PD1,,Available,In,,,,,,,,
